KLCoeffInner,Step_1-PolicyExecTime,Time-SampleProc,Step_0-MinForwardReturn,Step_1-MaxForwardReturn,Time-InnerStep,Step_1-AverageReturn,Time,Step_0-EnvExecTime,Step_0-AveragePolicyStd,Time-TotalInner,Time-OuterStep,Step_0-MaxForwardReturn,Step_1-EnvExecTime,Step_0-AverageCtrlCost,Step_1-AverageCtrlCost,Itr,Step_1-MinReturn,LossBefore,Step_1-AverageDiscountedReturn,KLInner,Time-MAMLSteps,Step_1-MaxReturn,Step_0-StdReturn,ItrTime,Step_1-AveragePolicyStd,LossAfter,Step_0-AverageReturn,Step_0-StdForwardReturn,Step_1-NumTrajs,Step_0-AverageDiscountedReturn,Step_0-AverageForwardReturn,Step_1-AverageForwardReturn,Step_1-StdForwardReturn,Step_1-MinForwardReturn,n_timesteps,Step_0-MinReturn,Step_0-MaxReturn,Step_0-PolicyExecTime,Step_0-NumTrajs,Time-Sampling,Step_1-StdReturn
0.0005,2.4320380687713623,1.6642816066741943,-5.159211562982453,-0.2228345612347578,0.14966297149658203,-451.0233134561472,1772.2403810024261,16.047835111618042,0.9157935,39.53622603416443,2.5916810035705566,-0.28014752606888393,15.943692207336426,0.009125781133341953,0.009323572507794453,42,-928.1276342838584,2.5067477e-09,-198.2410934112526,0.007932616,2.591817855834961,-46.43718789507609,216.2796080712653,42.180436849594116,0.91573095,-0.0022279134,-497.9808730344074,1.0814030266191899,800,-212.6452560169308,-2.480778584038695,-2.2457929947729416,1.0575151164232106,-4.631483258250889,13760000,-1033.6612268873796,-57.84601903321054,0.853259801864624,800,37.67051100730896,211.5009186120369
0.0005,2.4008562564849854,1.6691310405731201,-4.640939265659087,-0.16092547204699753,0.14506793022155762,-496.16691548640046,1813.6520369052887,15.716542482376099,0.9136711,38.89643383026123,2.4444069862365723,-0.24540940626759306,15.652284860610962,0.009115747950309451,0.009291067713274098,43,-928.3209220044504,-2.6524072e-10,-220.5654229837887,0.008226807,2.444509983062744,-34.20543060224579,192.1225660116058,41.40721583366394,0.91372246,-0.002213062,-542.8815534050107,0.9606092982886475,800,-234.89180763174744,-2.7052920190747436,-2.4715435097187277,0.9901935510724741,-4.631916087715517,14080000,-929.9501903597284,-50.957890115775676,0.8458116054534912,800,37.040241718292236,198.03076094060364
0.0005,2.576685667037964,1.8169760704040527,-5.045828206711668,-0.201256754200532,0.181257963180542,-433.7475403417053,1856.5458738803864,15.360924243927002,0.9114616,40.03389811515808,2.803273916244507,-0.3515867192978153,16.594216346740723,0.009184782962950413,0.009399012581710995,44,-899.0510896404114,1.2125818e-09,-193.91581670189962,0.010827901,2.803394079208374,-42.09288205925356,201.6898703642921,42.889617919921875,0.9113881,-0.0021458464,-492.94595783836513,1.0084583136760428,800,-211.817663306806,-2.4555450062288755,-2.1593386891268156,0.9232689230240704,-4.4852319938134535,14400000,-1010.9915430842403,-72.13544769035886,0.8527851104736328,800,37.98947715759277,184.65653902117168
0.0005,2.541766405105591,1.6448991298675537,-4.244569625509482,-0.17951979146838087,0.18428540229797363,-447.11718826503494,1898.9604330062866,15.827025413513184,0.90912,39.8461492061615,2.500391960144043,-0.287114190038279,16.359275102615356,0.009271576742430917,0.00945961348353645,45,-783.0245347653989,-2.7246774e-09,-201.57486363245866,0.0090481285,2.5004947185516357,-37.81214548002164,161.8025750508606,42.40896201133728,0.9089712,-0.002281193,-516.9134476931563,0.8090079596378701,800,-223.04131658797985,-2.5752956617233496,-2.2261263278416386,0.788086730522617,-3.90575016877498,14720000,-850.6469639608722,-59.26270949411849,0.8564701080322266,800,37.974339723587036,157.61382030997999
0.0005,2.4852631092071533,1.6464030742645264,-4.884893119326643,-0.17499539416731608,0.14235496520996094,-461.41271420561026,1940.9781720638275,15.426663160324097,0.9064539,39.368759870529175,2.593611001968384,-0.2952802041801921,16.315322399139404,0.009285493400015984,0.009485640100677992,46,-847.1909885769289,-2.347678e-09,-202.90520864553358,0.013103043,2.5937130451202393,-36.96484457157791,209.99057639936936,42.0134699344635,0.9063698,-0.001972953,-511.918330891425,1.049928154273554,800,-218.19849709572986,-2.5503061610571094,-2.2975779309273734,0.9654877746581259,-4.225896601824811,15040000,-978.8045168425581,-60.93188728420658,0.8371179103851318,800,37.53789210319519,193.09771762708965
0.0005,2.452054977416992,1.7818589210510254,-4.820210384629141,-0.20089201698120868,0.14463305473327637,-487.7021825754551,1983.4631769657135,15.760595321655273,0.9033948,39.8336980342865,2.5895040035247803,-0.25488825551706706,16.386906623840332,0.009175843306679017,0.009445877853863785,47,-839.3106672783924,8.940697e-11,-213.99459600417038,0.007278527,2.589617967605591,-42.102303977113536,195.8409301458979,42.479291677474976,0.9032911,-0.0021842706,-538.5142776890024,0.979208926614088,800,-230.16676430585966,-2.6833955451383327,-2.4290650350234118,0.9198916870315438,-4.187047667793735,15360000,-965.9890898357027,-52.89370441084237,0.831305742263794,800,37.86452889442444,183.97838139505694
0.0005,2.676708936691284,1.8129353523254395,-5.128971367713785,-0.18538991971262297,0.15295124053955078,-460.4647365683956,2027.353473186493,15.625547409057617,0.90013164,41.24049997329712,2.5923068523406982,-0.25512858824337015,17.493152856826782,0.009140472002693861,0.00947644067367466,48,-970.2630186771453,4.6439466e-09,-204.84638544808863,0.008212153,2.5924201011657715,-39.09061795714222,195.4521282798811,43.886075258255005,0.9000394,-0.0024358938,-527.0580970770307,0.9772417736369388,800,-226.24572485801647,-2.6261500133824596,-2.292847242168303,0.9285151323650305,-4.841845329997802,15680000,-1027.6171351167884,-52.81863184589541,0.8356270790100098,800,39.23145413398743,185.70175655372063
0.0005,2.6616370677948,1.7778761386871338,-4.919906904721201,-0.19203282000252048,0.16803908348083496,-429.4221907443783,2073.854851961136,17.998849391937256,0.8972844,43.923136949539185,2.517812967300415,-0.27188755233923023,17.8781476020813,0.009045878954445143,0.009386471147363191,49,-892.8501288068238,1.8857418e-09,-190.83833584676265,0.010063974,2.517915964126587,-40.14602338045279,202.07230379736606,46.496909856796265,0.89714265,-0.001750279,-483.8839924926589,1.010353202886532,800,-208.23300746283255,-2.410374083508849,-2.1377244825745287,1.0063144217939184,-4.454741558052014,16000000,-985.9706920646204,-56.23611490272368,0.8836197853088379,800,41.932453632354736,201.27157282972667
0.0005,2.6807212829589844,1.7252390384674072,-5.109217944762928,-0.2082538590222355,0.14869022369384766,-470.28039209836896,2116.926702976227,15.277276277542114,0.89535576,40.5121648311615,2.5017828941345215,-0.21944574806609818,17.05660057067871,0.009112583176463523,0.009333683597146593,50,-874.8887767346156,5.90086e-10,-208.37952546290012,0.00894193,2.502065896987915,-43.38825478136055,207.8278701997179,43.067479848861694,0.8954714,-0.0017482975,-535.4725659308498,1.0391198602834912,800,-228.64793539527727,-2.668250246477786,-2.3420682768946985,0.9147952965975524,-4.364671030433174,16320000,-1023.5895042322163,-45.738634521986704,0.914539098739624,800,38.593578815460205,182.96800400010247
0.0005,2.6665101051330566,1.741626262664795,-5.214188399950526,-0.24051649299681532,0.14217185974121094,-470.0469288241012,2159.4943721294403,15.538187265396118,0.89344794,39.8945529460907,2.601627826690674,-0.26142611705999796,16.145965337753296,0.009077775424507854,0.00934015460037539,51,-906.4401932472363,-1.2263659e-09,-210.65673787559615,0.010526839,2.601743698120117,-49.95331177543545,200.04427315940842,42.56203317642212,0.89352703,-0.0019556948,-530.0044652751659,1.0002204792142706,800,-228.91570533881256,-2.6409445509513216,-2.3408944895201307,0.9073600411736578,-4.523016876785081,16640000,-1044.6167323235463,-53.94989432333777,0.92368483543396,800,37.95434904098511,181.47779267166135
